MODELS,VOLUME,WIDTH,LENGTH,TECHNOLOGY,FIN BOXES,FINS,REC. SAIL SIZES
Blast LTD 145,145 l,77 cm,235 cm,CF Composite Black 44 cm,Up to 10.0 m2,,
Falcon TE 89,89 l,60 cm,235 cm,BXC,Short Tuttle Box,No Fin,Up to 7.8 m2
Falcon TE 98,98 l,63 cm,235 cm,Up to 8.2 m2,,,
Falcon TE 114,114 l,71 cm,230 cm,FULL BXC,Medium Tuttle Box,No Fin,Up to 8.6 m2
Falcon TE 121,121 l,75 cm,230 cm,Up to 9.2 m2,,,
Falcon TE129,129 l,80 cm,230 cm,FOIL Tuttle Box,No Fin,Up to 9.5 m2,
Falcon TE 136,136 l,85 cm,225 cm,Up to 10 m2,,,
Falcon Lightwind 159,159 l,90 cm,230 cm,BXF,FOIL Tuttle Box,CF Composite Black 50 cm,Up to 11 m2
Falcon Speed 44 Lüderitz,54 l,44 cm,230 cm,BXC,Short Tuttle Box,No Fin,Up to 6.5 m2
Falcon Speed 52.5,70 l,52.5 cm,230 cm,Up to 7.0 m2,,,
Falcon Speed 56,79 l,56 cm,235 cm,Up to 7.5 m2,,,
Falcon Formula 172,172 l,100 cm,230 cm,FULL BXC,Deep Tuttle Box,No Fin,Up to 12.5 m2
Viper 75,160 l,75 cm,275 cm,HRS,Power Box,"Fanatic Viper 34, Daggerboard",Up to 10 m2
Viper 80,190 l,80 cm,280 cm,,,,
Viper 85,220 l,85 cm,285 cm,,,,
Viper 91,240 l,91 cm,290 cm,,,,
Viper Air Windsurf 355,355 l,85.1 cm,335.3 cm,DL HD,2 × US Box 10 cm,"1 × Fly 19.5 cm, 1 × Fly Race 22 cm",–
Viper Air Windsurf 355 Pure,355 l,85.1 cm,335.3 cm,Pure,2 × US Box 10 cm,"1 × Fly 19.5 cm, 1 × Fly Race 22 cm",–
Ripper 112,112 l,73 cm,239 cm,HRS,Power Box,Fanatic Ripper 30 & 39,Up to 8.0 m2
Ripper Air Windsurf 187,187 l,73.7 cm,274.3 cm,Pure,2 × US Box 10 cm,"1 × Fly 19.5 cm, 1 × Fly Race 22 cm",–
Tandem Air Premium,505 l,86.4 cm,487.6 cm,DL HD,2 × US Box 10 cm,2 × Fly 19.5 cm,–
